t_index	tf-idf
2	0.0019273674773948486
14	0.00216718899635841
80	0.007110889524504696
90	0.002308373426822369
184	0.003878094796202044
188	0.0025043272656913294
281	0.005275743028800454
304	0.005610508220354814
337	0.004626454072670258
341	0.004959170192695539
354	0.0026700705063076907
356	0.003717237807373801
392	0.0027801197538084134
419	0.009557906035145086
424	0.0076646356221640715
432	0.0025121536820551494
528	0.0016053377952782468
583	0.003201964843101255
748	0.0044212127786055055
750	0.004453348518170556
782	0.0026438900384330648
831	0.009557906035145086
863	0.003506713311680049
923	0.004188188500245915
939	0.00616425431801419
1030	0.003338649414739904
1031	0.0023495536094957897
1082	0.0024210728772271093
1107	0.00287912728996557
1112	0.0028486641849242754
1211	0.0031138242028489168
1245	0.001990169618686107
1269	0.003989189017402494
1273	0.002568231597574069
1274	0.00505676212269544
1417	0.005610508220354814
1512	0.0048680893878674985
1618	0.007110889524504696
1634	0.004012534986205032
1660	0.006557143426845321
1671	0.003523069266666866
1709	0.007110889524504696
1711	0.0026525612162481243
1873	0.002952967214020674
1899	0.00369840018570969
1949	0.005161868272025471
1976	0.003490550922835989
2021	0.009557906035145086
2028	0.009557906035145086
2032	0.007359887153585279
2044	0.006900365028810944
2048	0.0017278479237462345
2071	0.00861127082865458
2098	0.0026352735687285717
2110	0.003282323662196815
2118	0.0037363389008083707
2151	0.007359887153585279
2218	0.006718000415673565
2284	0.002370618899900514
2320	0.008057524730995204
2343	0.003775361724650572
2408	0.005536668296299711
2420	0.0022042692628035606
2444	0.004299736670567358
2570	0.005275743028800454
2573	0.003474577572114998
2598	0.007359887153585279
2599	0.0064132519470947716
2625	0.004554558214307038
2628	0.003101684514756973
2790	0.0021310889407501394
2838	0.00861127082865458
2885	0.00357334632762325
2915	0.0037952993914147828
3103	0.002661287801326024
3115	0.006283086270496579
3145	0.004824730002692551
3147	0.004085067388936772
3154	0.005217619111523683
3167	0.00258468608478689
3179	0.002248841710309574
3185	0.004299736670567358
3335	0.004590033089809205
3342	0.004554558214307038
3351	0.003878094796202044
3359	0.005953729822320438
3360	0.009557906035145086
3375	0.004012534986205032
3392	0.00258468608478689
3421	0.0029314595897115374
3469	0.004702346147251137
3470	0.006283086270496579
3604	0.0033677080837176167
3610	0.004161669105475906
3620	0.004824730002692551
3677	0.004959170192695539
3718	0.005688569804395797
3753	0.005336451064006072
3760	0.00616425431801419
3795	0.0024064662575863436
3801	0.004959170192695539
3803	0.0031260727685203764
3959	0.0018771520443763793
4000	0.0038155324417462606
4006	0.0043898158575155655
4036	0.0034277487815447313
4094	0.005217619111523683
4130	0.00616425431801419
4164	0.007359887153585279
4166	0.00241375003974729
4225	0.0024210728772271093
4241	0.0030777241472406463
4263	0.002235957596658489
4295	0.0036433978833186977
4325	0.003921454181376992
4368	0.007359887153585279
4369	0.00861127082865458
4386	0.004486258686969817
4391	0.0023288083105862598
4395	0.0037363389008083707
4425	0.0064132519470947716
4492	0.005859505849435396
4493	0.009557906035145086
4528	0.0022168565032239193
4533	0.003943661270960284
4570	0.006557143426845321
4624	0.004626454072670258
4845	0.005275743028800454
4874	0.004959170192695539
4910	0.004626454072670258
4927	0.0022815940214056096
4928	0.007359887153585279
4991	0.005336451064006072
5067	0.00861127082865458
5070	0.005275743028800454
5113	0.00861127082865458
5184	0.0076646356221640715
5195	0.004663873013864308
5292	0.0044212127786055055
5293	0.00861127082865458
5319	0.005108304311966412
5324	0.0017102823321688322
5380	0.005610508220354814
5445	0.009557906035145086
5465	0.0022168565032239193
5466	0.006054939518456919
5482	0.0034431806510250586
5495	0.0018287176806356757
5499	0.001800460688119584
5544	0.003201964843101255
5549	0.006283086270496579
5592	0.008057524730995204
5693	0.008057524730995204
5800	0.0026352735687285717
5801	0.0038996024205111804
5878	0.0022042692628035606
5960	0.004741934597905289
6173	0.00861127082865458
6177	0.004486258686969817
6190	0.0015655184755646425
6289	0.007110889524504696
6312	0.006283086270496579
6424	0.008057524730995204
6439	0.005217619111523683
6467	0.004453348518170556
6503	0.002370618899900514
6510	0.007110889524504696
6561	0.0029748189748864846
6569	0.004554558214307038
6636	0.0028688972352557533
6643	0.009557906035145086
6648	0.0015655184755646425
6666	0.0026438900384330648
6695	0.0026097456120550513
6700	0.0022042692628035606
6708	0.004215233065534963
6718	0.0042428240224768035
6742	0.0021856032877076302
6764	0.0027148517613850816
6765	0.0028894345533656833
6778	0.004215233065534963
6792	0.005466616740604264
6865	0.003989189017402494
6890	0.0023356884557063085
6893	0.0057713652091830586
6929	0.00616425431801419
7110	0.005610508220354814
7187	0.0076646356221640715
7207	0.00287912728996557
7244	0.002828726518160065
7263	0.002377713492052162
7362	0.005108304311966412
7402	0.0030777241472406463
7442	0.006718000415673565
7468	0.003878094796202044
7481	0.006283086270496579
7491	0.002818865782773717
7493	0.007359887153585279
7507	0.005217619111523683
7508	0.0076646356221640715
7543	0.005688569804395797
7612	0.003556380818545558
7635	0.009557906035145086
7638	0.0016297988536858518
7666	0.0038360697598561902
7668	0.0030777241472406463
7678	0.006557143426845321
7690	0.003523069266666866
7691	0.004110126916204933
7709	0.0076646356221640715
7750	0.008057524730995204
7761	0.009557906035145086
7767	0.0023356884557063085
7842	0.00375571094076063
7930	0.0010815485619054706
7961	0.009557906035145086
8094	0.0025043272656913294
8168	0.005466616740604264
8178	0.004741934597905289
8186	0.004626454072670258
8226	0.006718000415673565
8253	0.003966235436454382
8271	0.006283086270496579
8387	0.001117820718316431
8454	0.006557143426845321
